id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	56	233	575	45	267	519	207	177
2	0	34	37	830	375	146	796	275	3
9	0	103	274	990	198	262	887	427	171
6	0	68	1137	1273	136	0	1205	1069	1069
5	0	65	348	1338	342	219	1273	712	283
7	0	69	1338	2110	409	108	2041	1524	1269
8	0	97	588	2207	443	687	2110	980	491
1	0	0	0	3028	522	659	3028	1847	0
10	0	112	1568	3061	333	479	2949	2137	1456
4	0	59	2252	3170	367	198	3111	2546	2193
0	0	0	0	3170	0	0	3170	3170	0
