id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	30	68	643	779	136	0	711	575	575
3	35	56	233	1340	45	267	1284	972	177
7	98	69	779	1625	409	108	1556	1039	710
9	52	103	1058	1811	198	262	1708	1248	955
1	12	0	0	2284	522	659	2284	1103	0
5	75	65	532	2496	342	219	2431	1870	467
4	144	59	274	2730	367	198	2671	2106	215
2	112	34	37	2797	375	146	2763	2242	3
10	49	112	1132	3245	333	479	3133	2321	1020
8	72	97	945	3355	443	687	3258	2128	848
0	0	0	0	3355	185	0	3355	3170	0
