id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7	0	57	339	363	24	0	306	282	282
5	0	36	213	893	126	0	857	731	177
8	0	61	363	1088	136	71	1027	820	302
9	0	67	404	1099	111	0	1032	921	337
3	0	28	150	1289	163	44	1261	1054	122
4	0	33	177	2452	320	198	2419	1901	144
1	0	0	0	3191	509	453	3191	2229	0
10	0	69	504	3679	828	283	3610	2499	435
6	0	49	313	3992	866	377	3943	2700	264
2	0	11	88	4878	1093	1075	4867	2699	77
0	0	0	0	4878	702	0	4878	4176	0
