id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
9	0	80	474	758	284	0	678	394	394
1	0	0	0	1272	147	184	1272	941	0
4	0	36	201	1673	118	197	1637	1322	165
8	0	78	344	1766	223	41	1688	1424	266
10	0	105	966	1826	153	67	1721	1501	861
2	0	8	37	1933	347	361	1925	1217	29
3	0	26	76	2180	244	74	2154	1836	50
5	0	39	238	3165	829	147	3126	2150	199
7	0	71	320	3513	745	303	3442	2394	249
6	0	69	286	3753	458	658	3684	2568	217
0	0	0	0	3753	205	0	3753	3548	0
